,K-coefficient,start_time
0,-0.17289420618727835,6921
1,-1.2117815581427909,10489
2,0.4430035995488552,17535
3,-0.5785826263894955,20253
4,0.342557480399993,20973
5,0.3571419383763761,36893
6,0.6353182212826147,39522
7,-1.5681474416711365,41811
8,-2.9594967335482267,43040
9,-0.13019228116095377,43719
10,3.549850432155103,44859
11,-0.09365315666234636,46238
12,0.2215099956362624,47107
13,-2.014288996204797,50635
14,0.6444894756295745,57791
15,-1.2660594873262558,58491
16,-0.07545654085765863,59230
17,0.06874295222035287,61679
18,1.526685708110275,64088
19,0.013559467023295024,70344
20,-0.27544322314179015,71773
21,0.9946925586302029,79259
22,-2.0123420575144464,79449
23,-0.6300080608690168,79718
24,-1.1845797133325098,80098
25,1.8986874985178286,85885
26,-0.014412107137414532,86874
27,-0.2076322848847669,96269
28,-1.5931105620126036,100156
29,0.09310236855275777,100576
30,2.1144660467964673,101536
31,0.4571302464054083,103075
32,2.5428486641931354,105483
33,-2.959340774432927,105863
34,-0.08553335121821148,106013
35,-1.758827042945144,107822
36,-0.331834116356972,108252
37,-0.24296400136525031,109241
38,-3.081137856094952,110870
39,0.10092032199236178,111650
40,1.188214588382086,111790
41,-0.20387423416723033,112269
42,0.10377281669630538,113639
43,-0.20958928980118469,114608
44,-0.8994910330002601,114768
45,0.5655502781091737,117176
46,0.07791420656731274,119125
47,0.4712669594880286,122573
48,2.164236328364102,122773
49,0.10873827543196579,125572
50,-2.0802988886607015,127640
51,-0.0953083095742332,128990
