,Average Fixation Duration [ms],Number of Fixations,Total Fixation Duration [ms],Total Duration [ms],Average Saccade Duration [ms],Number of Saccades,Total Saccade Duration [ms],Relative Fixation/Saccade Duration [%]
Mean participant20,255.1044443250993,387.0,99085.33333333333,136564.0,33.000239394196974,434.3333333333333,14296.666666666666,87/13
Mean participant25,309.04241979905674,305.0,94763.33333333333,121485.0,32.88830634892809,416.0,13745.0,87/13
Mean participant16,166.77256433572109,890.3333333333334,150018.0,242669.33333333334,30.074620917741157,880.3333333333334,26366.666666666668,85/15
Mean participant17,163.05635777928626,533.3333333333334,88469.33333333333,142683.66666666666,29.267100435869892,478.6666666666667,13830.0,86/14
Mean participant28,184.92972038352585,648.6666666666666,121078.0,174790.0,31.65613961513871,445.3333333333333,14140.0,90/10
Mean participant23,265.8225117601102,572.0,147610.0,216577.66666666666,32.94312557864049,1028.0,33513.333333333336,82/18
Mean participant26,344.68270773110845,397.0,134025.66666666666,171138.0,34.639662697287,500.6666666666667,17326.666666666668,88/12
Mean participant27,185.22603075394863,538.6666666666666,99015.33333333333,146851.0,34.28898136909235,478.6666666666667,16376.666666666666,85/15
Mean participant30,307.967922863152,395.3333333333333,118077.0,160687.66666666666,32.72237010140236,376.3333333333333,12266.666666666666,91/9
Mean participant21,342.1501402455517,344.0,118901.0,144675.33333333334,32.573556394882736,433.0,14163.333333333334,89/11
Mean participant24,271.6012133916857,374.6666666666667,101880.33333333333,144800.66666666666,33.57728244450154,543.6666666666666,18326.666666666668,85/15
Mean participant29,241.28933468922378,368.3333333333333,89276.33333333333,132668.33333333334,34.950803696248215,467.3333333333333,16333.333333333334,84/16
Mean participant18,150.8335321636545,483.0,71157.66666666667,145020.0,32.84919793773407,576.0,18710.0,79/21
Mean participant19,146.28632542878617,457.3333333333333,66526.66666666667,120068.66666666667,33.77743236855893,488.6666666666667,16436.666666666668,80/20
Mean group_difficult,238.19751611785077,478.19047619047615,107134.57142857143,157191.38095238092,32.800629950015896,539.0714285714286,17559.40476190476,86/14
Standard Deviation group_difficult,71.61746213473086,153.7833259989891,25682.97662689398,34868.19814473936,1.596450551628867,185.22198179396133,5741.665516993777,4
